Vgs1 (V) =	-8.878744E-6	Vgs2 (V) =	2.110000E+1	Vgs3 (V) =	1.000043E+1	Vgs4 (V) =	1.500048E+1	Vgs5 (V) =	1.999972E+1	Vgs6 (V) =	2.499975E+1	Vgs7 (V) =	3.000160E+1	Vgs8 (V) =	3.500644E+1	Vgs9 (V) =	4.001132E+1	
Igs1 (A) =	-2.037970E-9	Igs2 (A) =	-4.833737E-7	Igs3 (A) =	-9.679181E-8	Igs4 (A) =	1.776112E-10	Igs5 (A) =	4.647484E-10	Igs6 (A) =	4.083658E-10	Igs7 (A) =	-1.755971E-11	Igs8 (A) =	5.147313E-10	Igs9 (A) =	3.746271E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
1.80236400E+1	8.04999900E-6	1.80233000E+1	6.44105900E-7	1.80228300E+1	2.28739100E-6	1.80231200E+1	5.20342700E-6	1.80240200E+1	9.52007900E-6	1.80225400E+1	1.53327700E-5	1.80226700E+1	2.28904700E-5	1.80226600E+1	3.22913300E-5	1.80229600E+1	4.35539800E-5
1.85225500E+1	8.46297600E-6	1.85225400E+1	6.46773200E-7	1.85218200E+1	2.29509000E-6	1.85224600E+1	5.22879200E-6	1.85232000E+1	9.58856300E-6	1.85218800E+1	1.54775500E-5	1.85220700E+1	2.31610800E-5	1.85220900E+1	3.27569100E-5	1.85220800E+1	4.42336800E-5
1.90219900E+1	8.95793300E-6	1.90216700E+1	6.49208800E-7	1.90209800E+1	2.30201800E-6	1.90215100E+1	5.25118100E-6	1.90222900E+1	9.64728500E-6	1.90211900E+1	1.56130200E-5	1.90211700E+1	2.34225200E-5	1.90212700E+1	3.31927400E-5	1.90211200E+1	4.48730300E-5
1.95212600E+1	9.44277700E-6	1.95207600E+1	6.52144000E-7	1.95200700E+1	2.30780600E-6	1.95207400E+1	5.27262700E-6	1.95213000E+1	9.70461500E-6	1.95197200E+1	1.57386300E-5	1.95203100E+1	2.36616500E-5	1.95202500E+1	3.36093300E-5	1.95202600E+1	4.54935200E-5
2.00200200E+1	9.88525100E-6	2.00195400E+1	6.54682800E-7	2.00189300E+1	2.31260200E-6	2.00194800E+1	5.29089800E-6	2.00201000E+1	9.75399100E-6	2.00188000E+1	1.58523600E-5	2.00188600E+1	2.38904000E-5	2.00191800E+1	3.40114100E-5	2.00192000E+1	4.60987600E-5
2.05161200E+1	1.03660700E-5	2.05219800E+1	6.57848000E-7	2.05214700E+1	2.31665800E-6	2.05217000E+1	5.30850500E-6	2.05227100E+1	9.80257200E-6	2.05212700E+1	1.59652100E-5	2.05216600E+1	2.41086300E-5	2.05217300E+1	3.43866400E-5	2.05219000E+1	4.66798100E-5
2.10204200E+1	1.10138300E-5	2.10211200E+1	6.60257900E-7	2.10206000E+1	2.31994200E-6	2.10212100E+1	5.32362700E-6	2.10220300E+1	9.84367900E-6	2.10206200E+1	1.60699100E-5	2.10207000E+1	2.43182900E-5	2.10208300E+1	3.47414100E-5	2.10208600E+1	4.72385300E-5
2.15197900E+1	1.20887100E-5	2.15205300E+1	6.62673500E-7	2.15199600E+1	2.32296800E-6	2.15206200E+1	5.33880900E-6	2.15210000E+1	9.88114800E-6	2.15197000E+1	1.61644200E-5	2.15197800E+1	2.45172700E-5	2.15200300E+1	3.50792800E-5	2.15200800E+1	4.77824700E-5
2.20188200E+1	1.28272700E-5	2.20197900E+1	6.65229200E-7	2.20189400E+1	2.32626600E-6	2.20196100E+1	5.35199200E-6	2.20202300E+1	9.91444100E-6	2.20189200E+1	1.62526000E-5	2.20191400E+1	2.46996000E-5	2.20194400E+1	3.54063000E-5	2.20193000E+1	4.82945700E-5
2.25179100E+1	1.34834800E-5	2.25187900E+1	6.67266000E-7	2.25183100E+1	2.32952200E-6	2.25189400E+1	5.36497200E-6	2.25195700E+1	9.94781100E-6	2.25182500E+1	1.63356200E-5	2.25182300E+1	2.48728000E-5	2.25184700E+1	3.57103900E-5	2.25187000E+1	4.87795600E-5
2.30171800E+1	1.40381800E-5	2.30179300E+1	6.69352200E-7	2.30174600E+1	2.33319400E-6	2.30179000E+1	5.38032300E-6	2.30188400E+1	9.97686700E-6	2.30172900E+1	1.64110000E-5	2.30174300E+1	2.50413000E-5	2.30176700E+1	3.60065100E-5	2.30178600E+1	4.92482100E-5
2.35198800E+1	1.47704400E-5	2.35205900E+1	6.72093600E-7	2.35200900E+1	2.33686000E-6	2.35202800E+1	5.39317100E-6	2.35214200E+1	1.00070400E-5	2.35200900E+1	1.64831600E-5	2.35200700E+1	2.51971700E-5	2.35203000E+1	3.63036200E-5	2.35202300E+1	4.97159300E-5
2.40190000E+1	1.52749300E-5	2.40197600E+1	6.74162200E-7	2.40192100E+1	2.33885200E-6	2.40196900E+1	5.40222700E-6	2.40203900E+1	1.00338600E-5	2.40190200E+1	1.65517400E-5	2.40192000E+1	2.53403700E-5	2.40194000E+1	3.65728800E-5	2.40194800E+1	5.01504500E-5
2.45180000E+1	1.59206600E-5	2.45190500E+1	6.76634600E-7	2.45184200E+1	2.34134200E-6	2.45186800E+1	5.41071600E-6	2.45196000E+1	1.00601400E-5	2.45184600E+1	1.66138800E-5	2.45182000E+1	2.54756000E-5	2.45184900E+1	3.68360600E-5	2.45188200E+1	5.05732600E-5
