Vds1 (V) =	1.412507E-4		Vds2 (V) =	4.924248E-1		Vds3 (V) =	2.000190E+1		Vds4 (V) =	3.002063E+1		Vds5 (V) =	4.002377E+1		Vds6 (V) =	5.002155E+1		Vds7 (V) =	6.002262E+1		Vds8 (V) =	7.002373E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
1.59992500E+1	-2.25420600E-10	7.56884400E-10	1.59992900E+1	2.81243500E-6	6.62975900E-10	1.59993000E+1	3.30509100E-6	5.81110300E-10	1.59993000E+1	3.42540900E-6	5.64600100E-10	1.59992900E+1	3.46803100E-6	4.88982000E-10	1.59993000E+1	3.47123000E-6	5.84025500E-10	1.59993000E+1	4.05015500E-6	-1.75598100E-11	1.59993300E+1	6.33212200E-6	-5.10522200E-9
1.64992100E+1	-3.23063900E-10	7.03606200E-10	1.64992200E+1	3.02373800E-6	5.67440400E-10	1.64992200E+1	3.58714000E-6	7.19055300E-10	1.64992000E+1	3.72531500E-6	5.60208000E-10	1.64992100E+1	3.77434000E-6	5.15374700E-10	1.64992000E+1	3.78317200E-6	4.90156200E-10	1.64992000E+1	4.32492100E-6	1.11308000E-10	1.64992000E+1	6.79387100E-6	-4.98706900E-9
1.69993300E+1	-2.78611500E-10	8.27692500E-10	1.69993400E+1	3.24881600E-6	6.50405000E-10	1.69993400E+1	3.88881300E-6	7.20380400E-10	1.69993400E+1	4.04453000E-6	6.66914000E-10	1.69993400E+1	4.09842500E-6	5.27264600E-10	1.69993400E+1	4.11140900E-6	5.61305800E-10	1.69993500E+1	4.59914200E-6	1.77649000E-10	1.69993400E+1	7.25306600E-6	-4.96328100E-9
1.74998300E+1	1.01661300E-10	7.24470000E-10	1.74998300E+1	3.48268800E-6	6.26208100E-10	1.74998500E+1	4.20342900E-6	5.97998800E-10	1.74998700E+1	4.37981300E-6	5.54263000E-10	1.74998800E+1	4.44218400E-6	4.06472200E-10	1.74998700E+1	4.45680100E-6	5.65130300E-10	1.74998600E+1	4.89547800E-6	1.27438900E-10	1.74998400E+1	7.73561900E-6	-4.78184600E-9
1.79997000E+1	-3.03687200E-10	7.67636800E-10	1.79997100E+1	3.72534200E-6	6.32911200E-10	1.79997200E+1	4.53174700E-6	6.32001900E-10	1.79997200E+1	4.72976900E-6	5.76679800E-10	1.79997200E+1	4.80654500E-6	5.72893100E-10	1.79997100E+1	4.82640800E-6	4.81106200E-10	1.79997200E+1	5.21731000E-6	1.17783100E-10	1.79997200E+1	8.16826700E-6	-4.03338300E-9
1.84991700E+1	-2.41040200E-10	8.01413700E-10	1.84992000E+1	3.97417300E-6	6.92360000E-10	1.84992000E+1	4.87517900E-6	6.15113900E-10	1.84992100E+1	5.10050700E-6	7.03909400E-10	1.84992100E+1	5.18866600E-6	5.46879200E-10	1.84992200E+1	5.22010200E-6	5.62290300E-10	1.84992000E+1	5.55344600E-6	1.90902100E-10	1.84991900E+1	8.67222300E-6	-3.71141200E-9
1.89987400E+1	-2.22592200E-10	8.07737000E-10	1.89987400E+1	4.23074200E-6	6.65020400E-10	1.89987500E+1	5.22973100E-6	5.34118200E-10	1.89987400E+1	5.49107600E-6	5.89895000E-10	1.89987400E+1	5.59203600E-6	6.22156500E-10	1.89987700E+1	5.63535400E-6	5.93378300E-10	1.89987500E+1	5.90774400E-6	2.46943600E-10	1.89987600E+1	9.20736800E-6	-3.47472200E-9
1.94994200E+1	-2.52522600E-10	7.76762900E-10	1.94994200E+1	4.50144700E-6	6.44118800E-10	1.94994000E+1	5.59992600E-6	6.28631700E-10	1.94994200E+1	5.90301500E-6	6.87247900E-10	1.94994200E+1	6.02052300E-6	6.83726200E-10	1.94994000E+1	6.07221400E-6	5.89554000E-10	1.94994200E+1	6.29039200E-6	3.25969600E-10	1.94994000E+1	9.74460700E-6	-3.06550200E-9
1.99997200E+1	-2.61050100E-10	8.55372400E-10	1.99997100E+1	4.78089900E-6	7.36511300E-10	1.99997300E+1	5.99004900E-6	6.04927400E-10	1.99997100E+1	6.33690900E-6	6.38817200E-10	1.99997300E+1	6.47232800E-6	7.20418700E-10	1.99997200E+1	6.52423300E-6	6.05571100E-10	1.99997000E+1	6.70659200E-6	2.65535600E-10	1.99997300E+1	1.04458500E-5	-3.44011000E-9
2.05000700E+1	-1.21360800E-10	7.79830000E-10	2.05000700E+1	5.07051100E-6	6.56842100E-10	2.05000700E+1	6.39674900E-6	5.85275200E-10	2.05000700E+1	6.78828400E-6	5.65016800E-10	2.05000400E+1	6.94801700E-6	6.59076100E-10	2.05000700E+1	7.00930000E-6	6.54910200E-10	2.05000900E+1	7.14994400E-6	4.38204000E-10	2.05000700E+1	1.09060700E-5	-2.63351500E-9
2.09996400E+1	-2.84395000E-10	7.80928100E-10	2.09996700E+1	5.37406200E-6	6.60779800E-10	2.09996500E+1	6.82541000E-6	7.07619800E-10	2.09996500E+1	7.26219800E-6	5.86562500E-10	2.09996500E+1	7.45084000E-6	6.65210000E-10	2.09996600E+1	7.50963200E-6	5.93946700E-10	2.09996700E+1	7.61952300E-6	4.59409100E-10	2.09996500E+1	1.14816800E-5	-2.22928900E-9
2.15031000E+1	-1.80883800E-10	8.72677100E-10	2.15030300E+1	5.68892400E-6	7.70287700E-10	2.15031100E+1	7.27341000E-6	5.85881100E-10	2.15030400E+1	7.76268900E-6	5.94742000E-10	2.15032000E+1	7.98453200E-6	6.35371400E-10	2.15030700E+1	8.05076400E-6	6.74941500E-10	2.15030100E+1	8.12929600E-6	4.62514000E-10	2.15029800E+1	1.21384700E-5	-2.11601900E-9
2.20016900E+1	-1.50277900E-10	7.47114000E-10	2.20016500E+1	6.01209900E-6	6.74866400E-10	2.20016300E+1	7.73037900E-6	6.59227300E-10	2.20017200E+1	8.28350700E-6	6.65513500E-10	2.20017200E+1	8.52941100E-6	5.27681100E-10	2.20016900E+1	8.60850400E-6	7.03908800E-10	2.20016700E+1	8.65564700E-6	4.66565600E-10	2.20016700E+1	1.28818200E-5	-2.04281500E-9
2.25036000E+1	-2.80131300E-10	8.17961000E-10	2.25036100E+1	6.33714200E-6	7.06900500E-10	2.25036000E+1	8.20464100E-6	7.03189200E-10	2.25036300E+1	8.81959900E-6	6.52752500E-10	2.25037300E+1	9.10237000E-6	6.63506000E-10	2.25036000E+1	9.19393700E-6	6.47526400E-10	2.25035300E+1	9.22262200E-6	5.67175100E-10	2.25035500E+1	1.36526900E-5	-2.06220400E-9
2.30022500E+1	-6.67765000E-11	7.71839500E-10	2.30021400E+1	6.67445100E-6	7.46432400E-10	2.30022400E+1	8.70309900E-6	6.52373800E-10	2.30021900E+1	9.39096600E-6	7.27461000E-10	2.30022600E+1	9.69691000E-6	5.98414800E-10	2.30021200E+1	9.79805100E-6	5.88948100E-10	2.30021600E+1	9.81930200E-6	4.79780700E-10	2.30021100E+1	1.43988800E-5	-1.91432200E-9
2.35004900E+1	-2.00640400E-10	7.34655800E-10	2.35005000E+1	7.01985700E-6	7.02128900E-10	2.35005800E+1	9.22077900E-6	7.31740200E-10	2.35005500E+1	9.98135400E-6	6.38968800E-10	2.35006200E+1	1.03201600E-5	5.86411200E-10	2.35004800E+1	1.05525000E-5	7.27461300E-10	2.35005000E+1	1.05836300E-5	6.71987900E-10	2.35004600E+1	1.51861000E-5	-1.72701700E-9
2.40021600E+1	-1.82023500E-10	8.11258300E-10	2.40022500E+1	7.37676900E-6	7.42115700E-10	2.40022500E+1	9.74548700E-6	7.57716300E-10	2.40022800E+1	1.07335200E-5	7.86078100E-10	2.40023100E+1	1.12274800E-5	1.36872000E-9	2.40021400E+1	1.11662800E-5	6.09849900E-10	2.40022300E+1	1.11917000E-5	5.33929000E-10	2.40022500E+1	1.59907700E-5	-1.52547400E-9
2.45010200E+1	-1.59269800E-10	8.31516200E-10	2.45012100E+1	7.74560200E-6	7.70894400E-10	2.45012500E+1	1.02980300E-5	6.80015300E-10	2.45012000E+1	1.13042300E-5	5.96256200E-10	2.45011900E+1	1.18074300E-5	5.44910000E-10	2.45011300E+1	1.18262600E-5	5.95726300E-10	2.45012800E+1	1.18355200E-5	5.45326600E-10	2.45011800E+1	1.68701900E-5	-1.53478700E-9
2.49994300E+1	-6.70722100E-11	7.78353900E-10	2.49994000E+1	8.12329600E-6	6.88194500E-10	2.49993700E+1	1.10360900E-5	1.40083000E-9	2.49994000E+1	1.19161100E-5	7.18259800E-10	2.49995100E+1	1.24394800E-5	5.74369900E-10	2.49993600E+1	1.25220300E-5	5.46954900E-10	2.49994500E+1	1.25353800E-5	5.63047700E-10	2.49995300E+1	1.77667100E-5	-1.33237100E-9
