Vgs1 (V) =	-2.064548E-5	Vgs2 (V) =	4.999889E+0	Vgs3 (V) =	1.000030E+1	Vgs4 (V) =	1.500037E+1	Vgs5 (V) =	1.999959E+1	Vgs6 (V) =	2.499847E+1	Vgs7 (V) =	3.000044E+1	Vgs8 (V) =	3.500514E+1	Vgs9 (V) =	4.000999E+1	
Igs1 (A) =	-1.947870E-9	Igs2 (A) =	1.285369E-10	Igs3 (A) =	4.341896E-10	Igs4 (A) =	4.981444E-10	Igs5 (A) =	6.987573E-10	Igs6 (A) =	5.241204E-10	Igs7 (A) =	-1.146203E-10	Igs8 (A) =	5.747463E-10	Igs9 (A) =	4.977657E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
1.80232700E+1	5.95750700E-7	1.80229300E+1	3.50213600E-6	1.80240200E+1	8.69819700E-6	1.80226000E+1	1.49597400E-5	1.80228600E+1	2.73319100E-5	1.80229500E+1	4.15432200E-5	1.80232200E+1	5.92455600E-5	1.80236700E+1	8.05534700E-5	1.80223700E+1	1.04331500E-4
1.85225800E+1	5.97942500E-7	1.85222400E+1	3.51749600E-6	1.85233000E+1	8.75046000E-6	1.85218500E+1	1.52608900E-5	1.85220900E+1	2.76879900E-5	1.85222400E+1	4.21268300E-5	1.85226200E+1	6.02037000E-5	1.85229200E+1	8.19740200E-5	1.85215800E+1	1.06491400E-4
1.90217300E+1	6.00373900E-7	1.90213400E+1	3.53016000E-6	1.90223200E+1	8.79359200E-6	1.90210000E+1	1.54427800E-5	1.90211500E+1	2.80061900E-5	1.90212600E+1	4.26915500E-5	1.90216400E+1	6.11402300E-5	1.90221000E+1	8.33462300E-5	1.90208600E+1	1.08566400E-4
1.95208700E+1	6.03078700E-7	1.95200400E+1	3.54242100E-6	1.95212500E+1	8.83497900E-6	1.95201600E+1	1.53564900E-5	1.95202000E+1	2.83224400E-5	1.95204100E+1	4.32630400E-5	1.95210000E+1	6.20337400E-5	1.95212700E+1	8.47041200E-5	1.95201100E+1	1.10575200E-4
2.00197200E+1	6.05326900E-7	2.00192900E+1	3.55545000E-6	2.00202600E+1	8.87398900E-6	2.00188600E+1	1.54457800E-5	2.00191500E+1	2.86146800E-5	2.00193400E+1	4.38090800E-5	2.00200400E+1	6.29053200E-5	2.00201100E+1	8.59837100E-5	2.00190300E+1	1.12564200E-4
2.05221800E+1	6.07685500E-7	2.05216400E+1	3.56958300E-6	2.05226800E+1	8.90795200E-6	2.05213300E+1	1.56075300E-5	2.05215900E+1	2.88896000E-5	2.05216900E+1	4.43296700E-5	2.05221100E+1	6.37367000E-5	2.05225900E+1	8.72486900E-5	2.05210600E+1	1.14537600E-4
2.10214800E+1	6.09895800E-7	2.10210000E+1	3.58035700E-6	2.10220800E+1	8.93769600E-6	2.10208000E+1	1.55260300E-5	2.10209100E+1	2.91393000E-5	2.10212100E+1	4.48149600E-5	2.10215200E+1	6.45351000E-5	2.10218900E+1	8.84668000E-5	2.10206900E+1	1.16421800E-4
2.15208500E+1	6.11800700E-7	2.15204000E+1	3.59202600E-6	2.15212000E+1	8.95989800E-6	2.15199700E+1	1.55597000E-5	2.15201600E+1	2.93813400E-5	2.15204800E+1	4.53004700E-5	2.15206700E+1	6.53029500E-5	2.15210800E+1	8.96647800E-5	2.15198200E+1	1.18254800E-4
2.20200400E+1	6.14441700E-7	2.20195100E+1	3.60470600E-6	2.20202900E+1	8.97826800E-6	2.20191500E+1	1.55837700E-5	2.20192100E+1	2.95863300E-5	2.20196100E+1	4.57516300E-5	2.20199000E+1	6.60467800E-5	2.20204700E+1	9.08282200E-5	2.20189100E+1	1.20011300E-4
2.25190000E+1	6.16593000E-7	2.25183600E+1	3.61733100E-6	2.25195600E+1	8.99914900E-6	2.25182300E+1	1.56130100E-5	2.25183900E+1	2.97834700E-5	2.25184500E+1	4.61805800E-5	2.25190000E+1	6.67764300E-5	2.25195500E+1	9.19397100E-5	2.25181100E+1	1.21725700E-4
