Vds1 (V) =	1.463183E-4		Vds2 (V) =	2.155597E-1		Vds3 (V) =	2.000196E+1		Vds4 (V) =	3.002171E+1		Vds5 (V) =	4.002334E+1		Vds6 (V) =	5.002138E+1		Vds7 (V) =	6.002221E+1		Vds8 (V) =	7.002332E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
1.59991900E+1	-1.33604100E-10	6.67555900E-10	1.59992000E+1	7.74975900E-6	5.05452500E-10	1.59991700E+1	9.71738700E-6	4.59256300E-10	1.59991900E+1	1.07170800E-5	6.67744900E-10	1.59991600E+1	1.19655900E-5	3.08664200E-10	1.59991900E+1	1.23366300E-5	4.40588400E-10	1.59991800E+1	1.41856000E-5	6.84708600E-10	1.59991900E+1	1.79625200E-5	4.21011800E-10
1.64990800E+1	-8.12155900E-11	6.59528200E-10	1.64990900E+1	8.26488400E-6	4.93259600E-10	1.64990900E+1	1.05974100E-5	4.89246100E-10	1.64990800E+1	1.14869900E-5	4.58233800E-10	1.64990700E+1	1.28193900E-5	4.28850100E-10	1.64990800E+1	1.32829000E-5	4.85610700E-10	1.64990900E+1	1.52108200E-5	4.17793200E-10	1.64990900E+1	1.89519600E-5	4.01283800E-10
1.69992100E+1	-1.00592300E-10	6.97772500E-10	1.69992300E+1	8.81120100E-6	5.81941200E-10	1.69992400E+1	1.13324300E-5	4.12794900E-10	1.69992100E+1	1.23358700E-5	4.44867200E-10	1.69992000E+1	1.37354700E-5	3.92309700E-10	1.69992000E+1	1.42874100E-5	4.06054700E-10	1.69992100E+1	1.63278200E-5	4.51228800E-10	1.69992300E+1	1.99984900E-5	4.29152900E-10
1.74997400E+1	9.45245300E-11	6.79483700E-10	1.74997500E+1	9.37631600E-6	5.92316100E-10	1.74997500E+1	1.21304300E-5	5.07004800E-10	1.74997300E+1	1.32551000E-5	5.05073900E-10	1.74997300E+1	1.47314100E-5	4.32750300E-10	1.74997400E+1	1.53591900E-5	4.87844800E-10	1.74997400E+1	1.76536800E-5	4.97576300E-10	1.74997600E+1	2.13330100E-5	5.88302700E-10
1.79995900E+1	-3.50326700E-11	6.64867300E-10	1.79995800E+1	9.96038900E-6	4.78378100E-10	1.79995900E+1	1.29686800E-5	6.05682900E-10	1.79996000E+1	1.42347600E-5	5.36767500E-10	1.79996000E+1	1.57576300E-5	5.01893100E-10	1.79996100E+1	1.64769500E-5	4.66072100E-10	1.79996000E+1	1.91547500E-5	4.25593800E-10	1.79996000E+1	2.26033200E-5	5.16963800E-10
1.84990800E+1	-4.32224500E-11	7.11025700E-10	1.84990800E+1	1.04760700E-5	7.31435100E-10	1.84990700E+1	1.38647500E-5	5.04013600E-10	1.84990800E+1	1.52618900E-5	4.64179300E-10	1.84990800E+1	1.68212100E-5	4.88867200E-10	1.84990900E+1	1.76788300E-5	5.75125300E-10	1.84990800E+1	2.05198300E-5	4.35135500E-10	1.84990900E+1	2.40176000E-5	5.55965600E-10
1.89986200E+1	7.79761800E-11	7.70739900E-10	1.89986400E+1	1.13783900E-5	8.80437400E-10	1.89986500E+1	1.48172400E-5	5.40440100E-10	1.89986300E+1	1.63382900E-5	4.91442200E-10	1.89986200E+1	1.79956900E-5	5.23174300E-10	1.89986400E+1	1.89400500E-5	5.69218300E-10	1.89986400E+1	2.17045500E-5	3.73566000E-10	1.89986400E+1	2.55165100E-5	5.01324700E-10
1.94993100E+1	1.01236700E-10	6.46426700E-10	1.94993100E+1	1.19570700E-5	5.27452200E-10	1.94992900E+1	1.58090800E-5	6.06591800E-10	1.94992800E+1	1.74616100E-5	5.96216800E-10	1.94992900E+1	1.92628300E-5	5.14502200E-10	1.94993000E+1	2.02810100E-5	5.05982500E-10	1.94992900E+1	2.32003100E-5	5.20409300E-10	1.94993000E+1	2.71301400E-5	6.16853600E-10
1.99995900E+1	-1.70493300E-11	6.87889700E-10	1.99996000E+1	1.25600700E-5	4.52364700E-10	1.99995800E+1	1.68207900E-5	5.15259700E-10	1.99995800E+1	1.86384300E-5	5.17001300E-10	1.99996100E+1	2.05561000E-5	6.62027000E-10	1.99996100E+1	2.16756400E-5	4.99848300E-10	1.99995800E+1	2.46757700E-5	5.35328500E-10	1.99996000E+1	2.86496600E-5	5.26430200E-10
2.04999500E+1	1.47714800E-10	7.64189000E-10	2.04999600E+1	1.31813600E-5	5.16168300E-10	2.04999400E+1	1.78814200E-5	5.87696800E-10	2.04999500E+1	1.98825200E-5	5.38357600E-10	2.04999600E+1	2.19530800E-5	5.24271700E-10	2.04999600E+1	2.31377900E-5	5.76526400E-10	2.04999600E+1	2.63795700E-5	6.22987600E-10	2.04999600E+1	3.01782000E-5	4.02419600E-10
2.09995400E+1	8.26622100E-11	6.36619600E-10	2.09995300E+1	1.38842600E-5	6.70168400E-10	2.09995200E+1	1.89798800E-5	5.70051500E-10	2.09995400E+1	2.11879200E-5	5.79593700E-10	2.09995300E+1	2.34115000E-5	5.33435200E-10	2.09995600E+1	2.46734100E-5	5.07270100E-10	2.09995300E+1	2.80708900E-5	6.85238700E-10	2.09995400E+1	3.19064600E-5	5.38017000E-10
2.15018100E+1	5.88106000E-11	7.31208300E-10	2.15018400E+1	1.46247400E-5	5.82282000E-10	2.15017800E+1	2.01200500E-5	5.12987700E-10	2.15018000E+1	2.25653900E-5	5.34950200E-10	2.15017900E+1	2.49314400E-5	5.62288800E-10	2.15018900E+1	2.62991700E-5	5.70581700E-10	2.15019300E+1	3.01379500E-5	5.81259800E-10	2.15017000E+1	3.37472000E-5	4.27866000E-10
2.20005400E+1	2.56924300E-10	6.88457400E-10	2.20006800E+1	1.53903400E-5	5.93755500E-10	2.20003400E+1	2.13008000E-5	6.46351100E-10	2.20004200E+1	2.39979400E-5	5.36578200E-10	2.20005400E+1	2.64466700E-5	5.77889500E-10	2.20005600E+1	2.79629600E-5	5.48770400E-10	2.20005300E+1	3.22361100E-5	7.09056700E-10	2.20004200E+1	3.56018200E-5	4.65276700E-10
2.25023400E+1	5.12543100E-11	5.72172400E-10	2.25023500E+1	1.61760700E-5	6.17042800E-10	2.25023000E+1	2.25135400E-5	6.36694700E-10	2.25023000E+1	2.54939400E-5	5.80540300E-10	2.25023000E+1	2.80639400E-5	5.00794900E-10	2.25024500E+1	2.97375000E-5	5.52292300E-10	2.25023200E+1	3.40367800E-5	7.77517800E-10	2.25023800E+1	3.75115700E-5	5.31655700E-10
2.30009100E+1	2.21084200E-10	6.59262800E-10	2.30009300E+1	1.69700800E-5	5.95800000E-10	2.30008300E+1	2.37895700E-5	5.50437000E-10	2.30009000E+1	2.70519600E-5	5.61834100E-10	2.30008500E+1	2.97386700E-5	5.41841300E-10	2.30009400E+1	3.15848300E-5	5.69444900E-10	2.30008800E+1	3.64043500E-5	7.86340500E-10	2.30008200E+1	3.96024200E-5	6.16664300E-10
2.34992200E+1	2.70391200E-10	6.74144200E-10	2.34992700E+1	1.77245200E-5	5.66075500E-10	2.34991200E+1	2.51288500E-5	5.92467900E-10	2.34992300E+1	2.86467100E-5	6.03108200E-10	2.34991700E+1	3.14918300E-5	5.03066900E-10	2.34993200E+1	3.35044400E-5	4.84436900E-10	2.34993200E+1	3.84835700E-5	3.77882900E-10	2.34992300E+1	4.18268000E-5	5.25937700E-10
2.40008700E+1	1.30111800E-10	6.74182300E-10	2.40010000E+1	1.85026300E-5	6.74030600E-10	2.40009200E+1	2.64984700E-5	6.22457500E-10	2.40009900E+1	3.03109000E-5	6.29993200E-10	2.40010200E+1	3.33328900E-5	5.20712300E-10	2.40011000E+1	3.54668400E-5	5.84024100E-10	2.40010200E+1	4.04667600E-5	5.08216500E-10	2.40009500E+1	4.41296400E-5	5.15259800E-10
2.45000100E+1	2.89219300E-10	7.01067500E-10	2.45001300E+1	1.93126800E-5	5.92089300E-10	2.44999300E+1	2.79189400E-5	6.31583200E-10	2.44997500E+1	3.20161700E-5	5.50398800E-10	2.44999800E+1	3.53001900E-5	5.89211300E-10	2.45001000E+1	3.75488200E-5	6.60209800E-10	2.44999400E+1	4.26886400E-5	6.38323400E-10	2.44999200E+1	4.65949600E-5	6.69335400E-10
2.49983000E+1	3.00490700E-10	7.92550200E-10	2.49982500E+1	2.01472200E-5	5.79669600E-10	2.49982400E+1	2.93612500E-5	5.34571200E-10	2.49982100E+1	3.38040700E-5	5.93944300E-10	2.49982500E+1	3.72662600E-5	5.35214800E-10	2.49983300E+1	3.96851300E-5	5.77927500E-10	2.49982400E+1	4.51902500E-5	6.01934100E-10	2.49981400E+1	4.91200800E-5	5.86901700E-10
2.54967300E+1	2.22393100E-10	7.30867000E-10	2.54967800E+1	2.09984000E-5	6.68085300E-10	2.54968200E+1	3.08357100E-5	6.54037600E-10	2.54966900E+1	3.56538300E-5	6.50554100E-10	2.54967100E+1	3.93566300E-5	6.09772900E-10	2.54967500E+1	4.19426300E-5	7.13713800E-10	2.54966900E+1	4.81120000E-5	7.90959900E-10	2.54967300E+1	5.17225200E-5	6.09166500E-10
